Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(2),C2H5(3),C(6),H(4),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C4H7(28),C4H7(38),C3H5(32),C4H6(30)
5.322088207291931e-05,0.12933783382247652,0.0,0.0,0.0,0.0,0.7337644244634014,0.00058150999245925651,0.00016156229408443269,0.0070766611054680004,6.6640276664174574e-05,0.12842201781384538,0.12826332846957073,1.6134822340349638e-07,1.4547713419170486e-06,0.0016568761495270603,6.646074340130584e-09,2.6731520104216113e-11,2.2143812722080309e-09,5.3544282271814327e-06
5.3529363934517093e-05,0.12944704553792147,0.0,0.0,0.0,0.0,0.73229877647387998,0.00058036758953631282,0.00016201922107605865,0.0071185734592747376,6.6691978087601202e-05,0.1291145380900694,0.12897518382103587,1.6189964308891449e-07,1.4678305280356842e-06,0.0016767480945001309,6.7446612588120019e-09,2.7128051665443875e-11,2.2365376940882286e-09,5.4625340418183981e-06
5.3837845796114874e-05,0.12955622597209648,0.0,0.0,0.0,0.0,0.73083613818302229,0.00057922857490680336,0.00016247415166424856,0.0071604452702792136,6.6742982478554925e-05,0.12980540846253752,0.12968561626688713,1.6244652936181156e-07,1.4809233781889332e-06,0.0016967214971287234,6.844039122077592e-09,2.7527764525986389e-11,2.2587380428607946e-09,5.572110882961461e-06
5.4146327657712655e-05,0.1296653738673783,0.0,0.0,0.0,0.0,0.72937651753637511,0.00057809294362607571,0.00016292708229616123,0.0072022762416569883,6.679329499498899e-05,0.13049462567461675,0.13039462184690181,1.6298890440054333e-07,1.4940494867602376e-06,0.0017167959200432919,6.9442075475848014e-09,2.7930657147997703e-11,2.2809813919124287e-09,5.6831679778274939e-06
5.4454809519310435e-05,0.1297744880099348,0.0,0.0,0.0,0.0,0.72791992227472158,0.00057696069113275991,0.00016337801114097361,0.0072440660810995511,6.6842919520212124e-05,0.1311821865703913,0.1311021966999413,1.6352678991408782e-07,1.5072085347785048e-06,0.0017369709254682615,7.0451650796610069e-09,2.8336723676549428e-11,2.3032668146400789e-09,5.7957144908698267e-06
5.4732443194748435e-05,0.12987266086865026,0.0,0.0,0.0,0.0,0.72661157944064569,0.00057594454851559623,0.00016378213280901925,0.007281641531132632,6.688699778291793e-05,0.13179957271900938,0.13173778770146838,1.6400706671791555e-07,1.5190794967727312e-06,0.0017552140659562133,7.1367012672613804e-09,2.8704896126645595e-11,2.3233589163663456e-09,5.8982873515479823e-06
5.5010076870186435e-05,0.12997080448691056,0.0,0.0,0.0,0.0,0.72530569848928506,0.00057493113485084619,0.00016418462911678446,0.0073191832259913436,6.6930525992224587e-05,0.13241561269309221,0.13237221415753267,1.6448374120050116e-07,1.5309765663098757e-06,0.0017735380017519949,7.2288753002387604e-09,2.9075634087782088e-11,2.3434836914879506e-09,6.0020806447894857e-06
5.5287710545624435e-05,0.13006891803933343,0.0,0.0,0.0,0.0,0.72400228454832305,0.00057392044615237373,0.00016458549814787459,0.0073566909628303432,6.6973507706552049e-05,0.13303030445080866,0.1330054735022147,1.6495682928549396e-07,1.5428994588846679e-06,0.0017919424117939975,7.3216866300438843e-09,2.94489353536114e-11,2.3636404815577891e-09,6.1071009583223306e-06
5.5565344221062435e-05,0.13016700063252515,0.0,0.0,0.0,0.0,0.72270134259779151,0.00057291247872723436,0.00016498473880571666,0.0073941645419680771,6.7015946033859358e-05,0.13364364602354198,0.13363756324073636,1.6542634695269888e-07,1.5548479258402459e-06,0.0018104269745024067,7.415134246691761e-09,2.9824795861813484e-11,2.38382863267325e-09,6.2133548323304336e-06
5.5842977896500435e-05,0.13026505141810826,0.0,0.0,0.0,0.0,0.72140287745155074,0.00057190722847672742,0.00016538234949719737,0.0074316037669366185,6.7057844470714932e-05,0.13425563552643263,0.1342684809586959,1.6589231075475403e-07,1.5668216900721885e-06,0.0018289913676855078,7.5092175510523875e-09,3.0203213202594752e-11,2.4040474982625942e-09,6.3208487848231717e-06
5.6120611571938434e-05,0.13036306955046795,0.0,0.0,0.0,0.0,0.72010689378728798,0.00057090469148090509,0.00016577832920016981,0.0074690084442175448,6.7099206238142994e-05,0.13486627114196134,0.13489822430737525,1.6635473670905626e-07,1.5788204961848671e-06,0.0018476352689007348,7.6039356026902568e-09,3.058418359338833e-11,2.4242964273852461e-09,6.4295892889300527e-06
5.6398245247376434e-05,0.13046105418093135,0.0,0.0,0.0,0.0,0.71881339611651429,0.00056990486351591099,0.00016617267668901225,0.0075063783835331663,6.7140034709676808e-05,0.13547555113621551,0.13552679101844151,1.6681364089171443e-07,1.5908440742390097e-06,0.0018663583550437195,7.6992875858332092e-09,3.0967703753035984e-11,2.4445747789501748e-09,6.5395827917894999e-06
5.6675878922814434e-05,0.13055900448508026,0.0,0.0,0.0,0.0,0.71752238881488717,0.00056890774042964089,0.00016656539106120482,0.0075437133975045064,6.7180333155036684e-05,0.13608347384261643,0.13615417888913295,1.6726903948721626e-07,1.6028921644724065e-06,0.0018851603028021469,7.7952725327281327e-09,3.1353769789081925e-11,2.4648819175102796e-09,6.6508356985092417e-06
5.6953512598252434e-05,0.13065691962950596,0.0,0.0,0.0,0.0,0.71623387610193101,0.0005679133178932938,0.00016695647140140026,0.0075810133018743304,6.7220104880513803e-05,0.13669003767280768,0.13678038579218477,1.6772094892491074e-07,1.6149645038148407e-06,0.0019040407883412981,7.8918895789715799e-09,3.1742378224763682e-11,2.4852172110487567e-09,6.7633543840534825e-06
5.7231146273690434e-05,0.13075479880297983,0.0,0.0,0.0,0.0,0.71494786205854988,0.00056692159156470094,0.00016734591696132393,0.0076182779152891462,6.7259353181227741e-05,0.13729524110733057,0.13740540966728057,1.6816938533055857e-07,1.6270608308258529e-06,0.0019229994875909972,7.9891377786926435e-09,3.2133525255649929e-11,2.5055800283701116e-09,6.8771451841739249e-06
5.7508779949128434e-05,0.1308526411908224,0.0,0.0,0.0,0.0,0.71366435061857747,0.00056593255700253297,0.00016773372708968706,0.0076555070593978761,6.7298081329071453e-05,0.13789908270013121,0.13802924852520748,1.6861436481861055e-07,1.639180884605615e-06,0.001942036076101199,8.0870161137126115e-09,3.2527206786472301e-11,2.5259697455221103e-09,6.9922144009733496e-06
5.806404730000444e-05,0.13104821241960907,0.0,0.0,0.0,0.0,0.71110485063540985,0.0005639625451556758,0.00016850443894800786,0.0077298582400439691,6.7373990276726377e-05,0.13910267489790648,0.13927336354642,1.6949401824037729e-07,1.6634911312561266e-06,0.0019803416227663771,8.2846591258683415e-09,3.3322157002769884e-11,2.5668274125299875e-09,7.226213114634328e-06
5.856378791579285e-05,0.13122409274181338,0.0,0.0,0.0,0.0,0.70880989619585166,0.00056219869445543172,0.00016919248194880861,0.0077966512670711195,6.7440562274577841e-05,0.14018123727435533,0.14038899571541175,1.7027404698365096e-07,1.6854488905232418e-06,0.002015079736659894,8.4646825842699246e-09,3.4046238697663833e-11,2.6036851409440149e-09,7.4412466199566439e-06
