Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(2),C2H5(3),C(6),H(4),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C4H7(28),C4H7(38),C3H5(32),C4H6(30),C4H7(42)
2.993100062059788e-06,0.11255195504504648,0.0,0.0,0.0,0.0,0.99446639124819025,0.00072748929957953837,4.7874773649050648e-05,0.00015616049394967928,3.1396472722123187e-05,0.002319410909754066,0.0022507051255192989,3.641482923012571e-09,8.8423471981067462e-09,5.5916962007094938e-07,6.1591007675155716e-13,2.4772813021643516e-15,9.3397025939577196e-13,2.1071259766210126e-11,5.6202388357554062e-13
3.033819519994528e-06,0.11256020082016197,0.0,0.0,0.0,0.0,0.99431817321708382,0.00073056611787874863,4.8474602624620659e-05,0.00016021889818016214,3.1781176526156261e-05,0.0023903711682968002,0.0023198099086823129,3.7688541041486875e-09,9.1996405769059139e-09,5.9191695962889973e-07,6.6058310677611118e-13,2.656962882163567e-15,9.9286879526313155e-13,2.3011963138235463e-11,6.0496334138213248e-13
3.0745389779292678e-06,0.11256853497301518,0.0,0.0,0.0,0.0,0.99416839562690262,0.00073352767969985975,4.9064626247334036e-05,0.00016431342160013159,3.2159063562245983e-05,0.0024621669099789169,0.0023897332235432536,3.8978814127715576e-09,9.563601203640421e-09,6.2595947556837073e-07,7.0753313271035173e-13,2.8458028821042814e-15,1.0542478109039054e-12,2.5092461606256416e-11,6.5027071167705982e-13
3.1152584358640076e-06,0.11257695594817203,0.0,0.0,0.0,0.0,0.99401708713831938,0.00073637731153510715,4.9644881974715389e-05,0.00016844326513007084,3.253016286223863e-05,0.002534782271658485,0.0024604596560517411,4.0285202339896654e-09,9.9341260010667456e-09,6.6131992618198788e-07,7.5681928648011911e-13,3.0440391396549414e-15,1.1181502933591022e-12,2.731981566014065e-11,6.9801983038086864e-13
3.1559778937987475e-06,0.11258546219648922,0.0,0.0,0.0,0.0,0.99386427628532847,0.00073911828383050227,5.0215417068578573e-05,0.00017260763703738326,3.2894510105692448e-05,0.0026082014713381067,0.002531973870361217,4.1607262308050179e-09,1.0311109924752638e-08,6.9802064805930329e-07,8.0849996136057942e-13,3.2519065215131041e-15,1.1846180553926709e-12,2.9701265622272703e-11,7.482844143146054e-13
3.1966973517334874e-06,0.11259405217659378,0.0,0.0,0.0,0.0,0.99370999144849104,0.0007417538092251469,5.0776287919881834e-05,0.00017680575357747688,3.3252147156562875e-05,0.0026824088228935275,0.0026042606231194533,4.2944554355283138e-09,1.0694446250839212e-08,7.3608355001095624e-07,8.6263276505488173e-13,3.469636734594824e-15,1.2536917380831509e-12,3.2244229215238872e-11,8.0113800419699388e-13
3.2374168096682273e-06,0.11260272435626131,0.0,0.0,0.0,0.0,0.99355426083002341,0.00074428704103001646,5.1327559397721529e-05,0.00018103683958552939,3.3603121616562344e-05,0.0027573887497494933,0.0026773047767368156,4.4296643303856174e-09,1.1084026851526029e-08,7.7553010805899434e-07,9.1927447709713301e-13,3.6974581549000287e-15,1.3254108000159666e-12,3.495629898779812e-11,8.5665391094914745e-13
3.3188557255377066e-06,0.11262030923839855,0.0,0.0,0.0,0.0,0.99323857403243876,0.0007490589334543411,5.2401602426158873e-05,0.00018959486534830553,3.4285299338363898e-05,0.0029096046434017729,0.002825605335431529,4.7043495007617895e-09,1.188148290753693e-08,8.586579120912419e-07,1.0403073750268251e-12,4.184270546974034e-15,1.4769369851782388e-12,4.0918984751393124e-11,9.7596447636418256e-13
3.3912553075930287e-06,0.11263620353045768,0.0,0.0,0.0,0.0,0.99295334389903078,0.00075298735991601235,5.3324976740153181e-05,0.00019730629584478323,3.4869949302591547e-05,0.0030473696479209394,0.0029598428486477335,4.9530982726264235e-09,1.2610315684911933e-08,9.3740844314593429e-07,1.1568729526129674e-12,4.6531147218838948e-15,1.6208936139242461e-12,4.6865830627330867e-11,1.0916881662696997e-12
3.463654889648351e-06,0.11265233506637856,0.0,0.0,0.0,0.0,0.99266395911016603,0.00075663730048547461,5.4219297718012133e-05,0.00020511067458408094,3.5434467329773248e-05,0.0031873477623612432,0.0030962519283983668,5.2058914174819226e-09,1.33572188226257e-08,1.0208380995072383e-06,1.2821874699404207e-12,5.1571484519988971e-15,1.7737571807964157e-12,5.3469400901712455e-11,1.2169206807312497e-12
3.536054471703673e-06,0.11266869568374843,0.0,0.0,0.0,0.0,0.99237056945803903,0.0007600243042942044,5.5085150517616849e-05,0.00021300400032085232,3.5979269589322378e-05,0.0033294566162508465,0.0032347524991359162,5.4625050305891929e-09,1.4121566139402101e-08,1.1090522928723423e-06,1.4165373683711846e-12,5.6975238484046444e-15,1.9357091107101968e-12,6.0778069838268593e-11,1.3520605353050208e-12
3.6084540537589952e-06,0.11268527740307487,0.0,0.0,0.0,0.0,0.9920733216060974,0.00076316327782190163,5.5923163873829836e-05,0.00022098238760765926,3.6504801389457224e-05,0.003473615662495821,0.0033752662492152609,5.722722638378963e-09,1.4902734136839085e-08,1.2021520291351795e-06,1.5601988326452716e-12,6.2753517683415708e-15,2.1069196664538024e-12,6.8841731213702734e-11,1.4975009750997883e-12
3.6808536358143174e-06,0.11270207240885205,0.0,0.0,0.0,0.0,0.99177235888552218,0.00076606848587164929,5.6734002335791949e-05,0.00022904207072180736,3.7011531863431906e-05,0.003619746284755115,0.0035177167351668308,5.9863355448741396e-09,1.5700104965905377e-08,1.3002339491172712e-06,1.7134376014326056e-12,6.8917010534938683e-15,2.2875482585492118e-12,7.771173980534661e-11,1.6536295255904755e-12
