Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(2),C2H5(3),C(6),H(4),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C4H7(28),C4H7(38)
0.00017975198816854945,0.16609391185295042,0.0,0.0,0.0,0.0,0.3557714076762914,0.00030986379646281325,0.00022567279800725945,0.02027203191825416,6.2854579054086071e-05,0.29510259450243903,0.31385180782197869,1.9756938432033648e-07,7.1633632044473366e-06,0.014396274764620574,1.3068466964769992e-07,5.2563359722768079e-10
0.00018145330807390088,0.16646669308888112,0.0,0.0,0.0,0.0,0.35287398211992049,0.0003078723520243875,0.00022558730243310186,0.020402125818501309,6.2701530198269967e-05,0.2962282931532883,0.3153012681675913,1.9704845173445576e-07,7.226932301497196e-06,0.014590612695383844,1.3234758375938937e-07,5.3232209049029774e-10
0.0001831546279792523,0.16683667956720274,0.0,0.0,0.0,0.0,0.35001310447340112,0.00030590598334940026,0.00022549116032302257,0.020531260594956278,6.254845797953659e-05,0.29733595722885714,0.31673316274177249,1.9652202215738104e-07,7.2900162330178364e-06,0.014784948279829162,1.340022991086773e-07,5.3897760708494277e-10
0.00018485594788460373,0.16720389599608118,0.0,0.0,0.0,0.0,0.34718816924355134,0.00030396423814006034,0.00022538469530753106,0.020659446797074599,6.2395393852905532e-05,0.2984259050134791,0.31814778043382752,1.9599042282240858e-07,7.3526161759775442e-06,0.014979269383897188,1.3564867134489694e-07,5.4559956641131693e-10
0.00018655726778995515,0.167568367017822,0.0,0.0,0.0,0.0,0.34439858248777072,0.00030204667416565395,0.00022526822159672343,0.020786694844852193,6.2242368207649569e-05,0.29949844848809426,0.31954540464058484,1.9545396834382154e-07,7.4147332815757362e-06,0.015173564248727329,1.372865633123716e-07,5.5218741680836747e-10
0.00018825858769530658,0.1679301171903202,0.0,0.0,0.0,0.0,0.34164376161086424,0.00030015285926293401,0.00022514204514311961,0.020913015029540197,6.208940921769648e-05,0.30055389344700284,0.32092631336264543,1.9491296054031518e-07,7.4763690597020393e-06,0.015367821479716551,1.3891584604539821e-07,5.5874063955650084e-10
0.000189959907600658,0.16828917098513627,0.0,0.0,0.0,0.0,0.3389231351366831,0.00029828237106838444,0.00022500646306890476,0.021038417515484985,6.1936544058486222e-05,0.30159253962552074,0.32229077931204664,1.9436768978590181e-07,7.5375250232396054e-06,0.015562030037701716,1.4053639529766343e-07,5.6525873491812837e-10
0.00019166122750600943,0.16864555272672402,0.0,0.0,0.0,0.0,0.33623614250013567,0.0002964347964476589,0.00022486176384940604,0.02116291234044208,6.1783799021774459e-05,0.30261468082093684,0.3236390700105487,1.938184351538618e-07,7.5982026029197222e-06,0.015756179227739853,1.4214809870710559e-07,5.7174125095591516e-10
0.00019336254741136085,0.16899928664944808,0.0,0.0,0.0,0.0,0.33358223386567226,0.00029460973152119788,0.00022470822841179231,0.021286509415511374,6.1631198293709598e-05,0.30362060499909338,0.32497144787554233,1.9326546419930775e-07,7.6584036306315275e-06,0.015950258687825031,1.4375084641628919e-07,5.781877458066006e-10
0.00019506386731671228,0.16935039685259892,0.0,0.0,0.0,0.0,0.33096086992412133,0.00029280678143223663,0.00022454612946490088,0.021409218525986724,6.1478765411403986e-05,0.30461059441060662,0.32628817031540341,1.9270903435298769e-07,7.7181298338784282e-06,0.016144258379570016,1.4534453743621148e-07,5.8459781327702209e-10
